User,Card,Date,Amount,Use Chip,Merchant City,Merchant State,Zip,MCC
0,0,2002-9-1,$134.09 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-1,$38.48 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-2,$120.34 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-2,$128.95 ,Swipe Transaction,Monterey Park,CA,91754.0,5651
0,0,2002-9-3,$104.71 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-3,$86.19 ,Swipe Transaction,Monterey Park,CA,91755.0,5970
0,0,2002-9-4,$93.84 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-4,$123.50 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-5,$61.72 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-5,$57.10 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-5,$76.07 ,Swipe Transaction,La Verne,CA,91750.0,5814
0,0,2002-9-5,$53.91 ,Online Transaction,ONLINE,,,4900
0,0,2002-9-6,$110.37 ,Swipe Transaction,Mira Loma,CA,91752.0,5541
0,0,2002-9-7,$117.05 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-7,$45.30 ,Swipe Transaction,Monterey Park,CA,91755.0,5942
0,0,2002-9-7,$29.34 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-8,$147.45 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-8,$27.75 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-8,$76.57 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-8,$22.56 ,Swipe Transaction,Mira Loma,CA,91752.0,7832
0,0,2002-9-9,$37.50 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-9,$65.50 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-9,$56.42 ,Swipe Transaction,La Verne,CA,91750.0,5311
0,0,2002-9-9,$2.71 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-9,$144.90 ,Online Transaction,ONLINE,,,4899
0,0,2002-9-10,$160.00 ,Swipe Transaction,Mira Loma,CA,91752.0,4829
0,0,2002-9-10,$102.18 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-10,$36.73 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-10,$29.33 ,Swipe Transaction,Mira Loma,CA,91752.0,7832
0,0,2002-9-11,$162.39 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-11,$34.40 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-11,$62.06 ,Swipe Transaction,Mira Loma,CA,91752.0,5541
0,0,2002-9-11,-$99.00,Swipe Transaction,Mira Loma,CA,91752.0,5541
0,0,2002-9-11,$99.00 ,Swipe Transaction,Mira Loma,CA,91752.0,5541
0,0,2002-9-11,$80.18 ,Swipe Transaction,La Verne,CA,91750.0,5812
0,0,2002-9-12,$122.10 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-12,$92.76 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-12,$52.52 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-12,$1.13 ,Swipe Transaction,La Verne,CA,91750.0,5499
0,0,2002-9-13,$126.79 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-13,$44.41 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-14,$164.37 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-14,$12.76 ,Swipe Transaction,La Verne,CA,91750.0,5814
0,0,2002-9-15,$109.94 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-15,$126.29 ,Swipe Transaction,La Verne,CA,91750.0,5311
0,0,2002-9-15,$40.81 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-15,$81.35 ,Swipe Transaction,Diamond Bar,CA,91765.0,5719
0,0,2002-9-16,$115.34 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-16,$44.25 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-17,$120.19 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-17,$159.72 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-18,$128.85 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-18,$92.30 ,Swipe Transaction,La Verne,CA,91750.0,5814
0,0,2002-9-19,$168.11 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-19,$53.09 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-20,$104.77 ,Swipe Transaction,La Verne,CA,91750.0,5311
0,0,2002-9-20,$119.69 ,Swipe Transaction,La Verne,CA,91750.0,5311
0,0,2002-9-21,$145.50 ,Swipe Transaction,Mira Loma,CA,91752.0,5541
0,0,2002-9-21,$48.34 ,Swipe Transaction,Monterey Park,CA,91755.0,5942
0,0,2002-9-21,$2.79 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-22,$47.51 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-22,$51.98 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-22,$82.90 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-22,$76.37 ,Swipe Transaction,Mira Loma,CA,91752.0,5812
0,0,2002-9-23,$134.89 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-23,$35.28 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-23,$80.65 ,Swipe Transaction,La Verne,CA,91750.0,5814
0,0,2002-9-24,$112.67 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-25,$162.26 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-25,$39.38 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-25,$55.76 ,Swipe Transaction,La Verne,CA,91750.0,5499
0,0,2002-9-25,$100.00 ,Swipe Transaction,La Verne,CA,91750.0,5499
0,0,2002-9-25,-$100.00,Swipe Transaction,La Verne,CA,91750.0,5499
0,0,2002-9-26,$93.37 ,Swipe Transaction,La Verne,CA,91750.0,5300
0,0,2002-9-27,$199.71 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
0,0,2002-9-27,$23.18 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-27,$57.64 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-28,$78.46 ,Swipe Transaction,La Verne,CA,91750.0,5411
0,0,2002-9-28,$141.70 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-28,$55.41 ,Swipe Transaction,La Verne,CA,91750.0,7538
0,0,2002-9-28,$153.36 ,Swipe Transaction,La Verne,CA,91750.0,4900
0,0,2002-9-29,$119.61 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-29,$120.25 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-29,$40.58 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-29,$165.96 ,Swipe Transaction,Mira Loma,CA,91752.0,4814
0,0,2002-9-30,$127.32 ,Online Transaction,ONLINE,,,5311
0,0,2002-9-30,$38.13 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-9-30,$11.30 ,Swipe Transaction,Mira Loma,CA,91752.0,5541
0,0,2002-9-30,$80.05 ,Swipe Transaction,La Verne,CA,91750.0,5814
0,0,2002-10-1,$119.73 ,Swipe Transaction,La Verne,CA,91750.0,5912
0,0,2002-10-1,$30.90 ,Swipe Transaction,Monterey Park,CA,91754.0,5411
